__name__,container,endpoint,instance,job,namespace,node,pod,resource,service,unit,value
kube_node_status_capacity,kube-state-metrics,http,10.244.1.67:8080,kube-state-metrics,monitoring,controlplane-nbg1-1,kube-prometheus-stack-kube-state-metrics-7dff96c957-ddncs,cpu,kube-prometheus-stack-kube-state-metrics,core,4
kube_node_status_capacity,kube-state-metrics,http,10.244.1.67:8080,kube-state-metrics,monitoring,controlplane-nbg1-1,kube-prometheus-stack-kube-state-metrics-7dff96c957-ddncs,ephemeral_storage,kube-prometheus-stack-kube-state-metrics,byte,162500227072
kube_node_status_capacity,kube-state-metrics,http,10.244.1.67:8080,kube-state-metrics,monitoring,controlplane-nbg1-1,kube-prometheus-stack-kube-state-metrics-7dff96c957-ddncs,hugepages_2Mi,kube-prometheus-stack-kube-state-metrics,byte,0
kube_node_status_capacity,kube-state-metrics,http,10.244.1.67:8080,kube-state-metrics,monitoring,controlplane-nbg1-1,kube-prometheus-stack-kube-state-metrics-7dff96c957-ddncs,memory,kube-prometheus-stack-kube-state-metrics,byte,8104771584
kube_node_status_capacity,kube-state-metrics,http,10.244.1.67:8080,kube-state-metrics,monitoring,controlplane-nbg1-1,kube-prometheus-stack-kube-state-metrics-7dff96c957-ddncs,pods,kube-prometheus-stack-kube-state-metrics,integer,110
kube_node_status_capacity,kube-state-metrics,http,10.244.1.67:8080,kube-state-metrics,monitoring,worker-nbg1-1,kube-prometheus-stack-kube-state-metrics-7dff96c957-ddncs,cpu,kube-prometheus-stack-kube-state-metrics,core,8
kube_node_status_capacity,kube-state-metrics,http,10.244.1.67:8080,kube-state-metrics,monitoring,worker-nbg1-1,kube-prometheus-stack-kube-state-metrics-7dff96c957-ddncs,ephemeral_storage,kube-prometheus-stack-kube-state-metrics,byte,244379181056
kube_node_status_capacity,kube-state-metrics,http,10.244.1.67:8080,kube-state-metrics,monitoring,worker-nbg1-1,kube-prometheus-stack-kube-state-metrics-7dff96c957-ddncs,hugepages_2Mi,kube-prometheus-stack-kube-state-metrics,byte,0
kube_node_status_capacity,kube-state-metrics,http,10.244.1.67:8080,kube-state-metrics,monitoring,worker-nbg1-1,kube-prometheus-stack-kube-state-metrics-7dff96c957-ddncs,memory,kube-prometheus-stack-kube-state-metrics,byte,16349855744
kube_node_status_capacity,kube-state-metrics,http,10.244.1.67:8080,kube-state-metrics,monitoring,worker-nbg1-1,kube-prometheus-stack-kube-state-metrics-7dff96c957-ddncs,pods,kube-prometheus-stack-kube-state-metrics,integer,110
kube_node_status_capacity,kube-state-metrics,http,10.244.1.67:8080,kube-state-metrics,monitoring,worker-nbg1-2,kube-prometheus-stack-kube-state-metrics-7dff96c957-ddncs,cpu,kube-prometheus-stack-kube-state-metrics,core,8
kube_node_status_capacity,kube-state-metrics,http,10.244.1.67:8080,kube-state-metrics,monitoring,worker-nbg1-2,kube-prometheus-stack-kube-state-metrics-7dff96c957-ddncs,ephemeral_storage,kube-prometheus-stack-kube-state-metrics,byte,244379181056
kube_node_status_capacity,kube-state-metrics,http,10.244.1.67:8080,kube-state-metrics,monitoring,worker-nbg1-2,kube-prometheus-stack-kube-state-metrics-7dff96c957-ddncs,hugepages_2Mi,kube-prometheus-stack-kube-state-metrics,byte,0
kube_node_status_capacity,kube-state-metrics,http,10.244.1.67:8080,kube-state-metrics,monitoring,worker-nbg1-2,kube-prometheus-stack-kube-state-metrics-7dff96c957-ddncs,memory,kube-prometheus-stack-kube-state-metrics,byte,16349863936
kube_node_status_capacity,kube-state-metrics,http,10.244.1.67:8080,kube-state-metrics,monitoring,worker-nbg1-2,kube-prometheus-stack-kube-state-metrics-7dff96c957-ddncs,pods,kube-prometheus-stack-kube-state-metrics,integer,110
